sep=,
"S No.","Faculty","Day","Time","Room","Batch","Semester","Subject","LTP"
"2","Dr Vishwanath Bijalwan","Monday","09:00","3003A-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Internet of Things - CSE &amp; AIML","Lab"
"3","Dr Vishwanath Bijalwan","Monday","09:00","3003A-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Internet of Things - CSE &amp; AIML","Lab"
"5","Dr Vishwanath Bijalwan","Monday","10:00","3003A-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Internet of Things - CSE &amp; AIML","Lab"
"6","Dr Vishwanath Bijalwan","Monday","10:00","3003A-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Internet of Things - CSE &amp; AIML","Lab"
"67","Dr Vishwanath Bijalwan","Thursday","10:00","3004-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Internet of Things - CSE &amp; AIML","Lecture"
"68","Dr Vishwanath Bijalwan","Thursday","10:00","3004-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Internet of Things - CSE &amp; AIML","Lecture"
"95","Balaboina Mohan Babu","Friday","11:00","3006-BL3-GF","22CSBTB31,22CSBTB32","VI","Environment and Sustainability","Lab"
"24","Dr V Venkataramana","Monday","15:00","3014-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Deep Learning","Lab"
"26","Dr V Venkataramana","Monday","15:00","3014-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Deep Learning","Lab"
"28","Dr V Venkataramana","Monday","16:00","3014-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Deep Learning","Lab"
"30","Dr V Venkataramana","Monday","16:00","3014-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Deep Learning","Lab"
"98","Dr Nafiz Uddin Khan","Friday","14:00","3015-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Computer Vision-AIML","Lecture"
"99","Dr Nafiz Uddin Khan","Friday","14:00","3015-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Computer Vision-AIML","Lecture"
"19","Ms.V.Sudha Rani","Monday","14:00","3015-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Information Retrival Systems - CSE, AIML &amp; DS","Lecture"
"55","Ms.V.Sudha Rani","Wednesday","10:00","3015-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Information Retrival Systems - CSE, AIML &amp; DS","Lecture"
"97","null","Friday","12:00","3015-BL3-GF","22CSBTB22,22CSBTB23,22CSBTB28,22CSBTB29,22CSBTB30,22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38,22CSBTB39,22CSBTB40","VI","MARKETING STRATEGIES AND PLANNING","Lecture"
"21","V Sudharani","Monday","14:00","3015-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Information Retrival Systems - CSE, AIML &amp; DS","Lecture"
"57","V Sudharani","Wednesday","10:00","3015-BL3-GF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Information Retrival Systems - CSE, AIML &amp; DS","Lecture"
"1","Dr.Sasanko Sekhar Gantayat","Monday","09:00","3102A-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Information Retrival Systems - CSE, AIML &amp; DS","Lab"
"4","Dr.Sasanko Sekhar Gantayat","Monday","10:00","3102A-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Information Retrival Systems - CSE, AIML &amp; DS","Lab"
"17","Dr B Arpita","Monday","13:00","3105-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Explainable &amp; Ethical AI","Lecture"
"77","Dr B Arpita","Thursday","13:00","3105-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Explainable &amp; Ethical AI","Lecture"
"49","Dr Nafiz Uddin Khan","Tuesday","16:00","3105-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Computer Vision-AIML","Lecture"
"50","Dr Nafiz Uddin Khan","Tuesday","16:00","3105-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Computer Vision-AIML","Lecture"
"15","Dr.Arpitha","Monday","13:00","3105-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Explainable &amp; Ethical AI","Lecture"
"71","Dr.Arpitha","Thursday","13:00","3105-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Explainable &amp; Ethical AI","Lecture"
"96","Gidituri Harinadha","Friday","12:00","3105-BL3-FF","22CSBTB21,22CSBTB22,22CSBTB23,22CSBTB27,22CSBTB29,22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB36,22CSBTB37,22CSBTB38,22CSBTB39,22CSBTB40","VI","RENEWABLE ENERGY RESOURCES","Lecture"
"60","Dr Vishwanath Bijalwan","Wednesday","11:00","3106-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Internet of Things - CSE &amp; AIML","Lecture"
"61","Dr Vishwanath Bijalwan","Wednesday","11:00","3106-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34,22CSBTB35,22CSBTB36,22CSBTB37,22CSBTB38","II","Internet of Things - CSE &amp; AIML","Lecture"
"41","Ms.V.Sudha Rani","Tuesday","13:00","3107A-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Information Retrival Systems - CSE, AIML &amp; DS","Lab"
"45","Ms.V.Sudha Rani","Tuesday","14:00","3107A-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Information Retrival Systems - CSE, AIML &amp; DS","Lab"
"43","V Sudharani","Tuesday","13:00","3107A-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Information Retrival Systems - CSE, AIML &amp; DS","Lab"
"47","V Sudharani","Tuesday","14:00","3107A-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Information Retrival Systems - CSE, AIML &amp; DS","Lab"
"100","Dr Nafiz Uddin Khan","Friday","15:00","3111A-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Computer Vision-AIML","Lab"
"101","Dr Nafiz Uddin Khan","Friday","15:00","3111A-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Computer Vision-AIML","Lab"
"102","Dr Nafiz Uddin Khan","Friday","16:00","3111A-BL3-FF","22CSBTB31,22CSBTB32,22CSBTB33,22CSBTB34","II","Computer Vision-AIML","Lab"
